CRSN id 'Locatie_1' di 'cd_Profiel_3' rl 0 rs 0 crsn
CRSN id 'Locatie_2' di 'cd_Profiel_4' rl  0 rs  -0.21 crsn
CRSN id 'Locatie_3' di 'cd_Profiel_5' rl -3.5 rs -1.5 crsn
CRSN id 'Locatie_4' di 'cd_Profiel_6' rl -2.75 rs -0.75 crsn
CRSN id 'Locatie_5' di 'cd_Profiel_1' rl 0 rs 0 crsn
CRSN id 'Locatie_6' di 'cd_Profiel_2' rl 0 rs 0 crsn
CRSN id 'Locatie_7' di 'cd_Profiel_7' rl 0 rs 0 crsn
CRSN id 'Locatie_8' di 'cd_Profiel_8' rl 0 rs 0 crsn
CRSN id 'Locatie_9' di 'cd_Profiel_9' rl -2.89 rs -0.89 crsn
CRSN id 'Locatie_10' di 'cd_Profiel_10' rl -3.11 rs -0.67 crsn
CRSN id 'Locatie_11' di 'cd_Profiel_3' rl 0 rs 0 crsn
CRSN id 'Locatie_12' di 'cd_Profiel_11' rl -1.46 rs -0.21 crsn
CRSN id 'Locatie_13' di 'cd_Profiel_2' rl 0 rs 0 crsn
CRSN id 'Locatie_14' di 'cd_Profiel_6' rl -2.75 rs -0.75 crsn
CRSN id 'Locatie_15' di 'cd_Profiel_4' rl 0 rs 0 crsn
CRSN id 'Locatie_16' di 'cd_Profiel_8' rl 0 rs 0 crsn
